Episode,Baseline_Violations,Axiom_Violations
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,2,0
13,2,0
14,2,0
15,2,0
16,2,0
17,2,0
18,2,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,4,0
28,4,0
29,4,0
30,4,0
31,4,0
32,4,0
33,4,0
34,4,0
35,4,0
36,4,0
37,4,0
38,4,0
39,5,0
40,5,0
41,5,0
42,5,0
43,5,0
44,5,0
45,5,0
46,5,0
47,5,0
48,5,0
49,5,0
50,5,0
51,5,0
52,6,0
53,6,0
54,6,0
55,6,0
56,6,0
57,6,0
58,7,0
59,7,0
60,7,0
61,7,0
62,7,0
63,7,0
64,7,0
65,7,0
66,7,0
67,7,0
68,7,0
69,7,0
70,7,0
71,7,0
72,7,0
73,7,0
74,8,0
75,8,0
76,8,0
77,9,0
78,10,0
79,10,0
80,10,0
81,10,0
82,10,0
83,11,0
84,11,0
85,11,0
86,11,0
87,11,0
88,11,0
89,11,0
90,11,0
91,11,0
92,11,0
93,11,0
94,11,0
95,11,0
96,12,0
97,12,0
98,12,0
99,12,0
100,12,0
101,12,0
102,13,0
103,13,0
104,13,0
105,13,0
106,13,0
107,13,0
108,13,0
109,14,0
110,14,0
111,14,0
112,14,0
113,14,0
114,14,0
115,14,0
116,14,0
117,14,0
118,14,0
119,14,0
120,14,0
121,14,0
122,14,0
123,14,0
124,15,0
125,16,0
126,16,0
127,16,0
128,17,0
129,17,0
130,18,0
131,18,0
132,18,0
133,18,0
134,18,0
135,18,0
136,18,0
137,18,0
138,18,0
139,18,0
140,18,0
141,19,0
142,19,0
143,19,0
144,19,0
145,19,0
146,19,0
147,19,0
148,19,0
149,19,0
150,19,0
151,19,0
152,19,0
153,20,0
154,20,0
155,20,0
156,20,0
157,20,0
158,20,0
159,20,0
160,20,0
161,20,0
162,20,0
163,21,0
164,21,0
165,22,0
166,22,0
167,22,0
168,22,0
169,22,0
170,22,0
171,22,0
172,22,0
173,22,0
174,22,0
175,22,0
176,22,0
177,22,0
178,22,0
179,23,0
180,23,0
181,23,0
182,23,0
183,23,0
184,23,0
185,23,0
186,24,0
187,24,0
188,24,0
189,24,0
190,24,0
191,24,0
192,24,0
193,24,0
194,24,0
195,24,0
196,24,0
197,24,0
198,24,0
199,24,0
200,24,0
201,24,0
202,24,0
203,24,0
204,24,0
205,24,0
206,24,0
207,24,0
208,24,0
209,24,0
210,24,0
211,24,0
212,24,0
213,24,0
214,25,0
215,25,0
216,26,0
217,26,0
218,26,0
219,26,0
220,26,0
221,26,0
222,26,0
223,26,0
224,26,0
225,26,0
226,26,0
227,26,0
228,26,0
229,26,0
230,26,0
231,26,0
232,26,0
233,26,0
234,26,0
235,26,0
236,26,0
237,26,0
238,26,0
239,26,0
240,26,0
241,26,0
242,26,0
243,26,0
244,26,0
245,26,0
246,26,0
247,27,0
248,27,0
249,27,0
250,27,0
251,27,0
252,27,0
253,27,0
254,27,0
255,27,0
256,27,0
257,27,0
258,27,0
259,27,0
260,27,0
261,27,0
262,27,0
263,27,0
264,27,0
265,27,0
266,27,0
267,27,0
268,27,0
269,27,0
270,27,0
271,27,0
272,27,0
273,27,0
274,27,0
275,27,0
276,27,0
277,27,0
278,27,0
279,27,0
280,27,0
281,27,0
282,27,0
283,27,0
284,27,0
285,27,0
286,27,0
287,27,0
288,27,0
289,28,0
290,28,0
291,28,0
292,28,0
293,28,0
294,28,0
295,28,0
296,28,0
297,28,0
298,28,0
299,28,0
300,28,0
301,28,0
302,28,0
303,28,0
304,28,0
305,29,0
306,29,0
307,29,0
308,29,0
309,30,0
310,30,0
311,30,0
312,30,0
313,30,0
314,30,0
315,30,0
316,30,0
317,30,0
318,30,0
319,30,0
320,30,0
321,30,0
322,30,0
323,30,0
324,30,0
325,30,0
326,31,0
327,31,0
328,32,0
329,32,0
330,32,0
331,32,0
332,32,0
333,32,0
334,32,0
335,32,0
336,32,0
337,32,0
338,32,0
339,32,0
340,32,0
341,32,0
342,32,0
343,32,0
344,32,0
345,32,0
346,32,0
347,33,0
348,34,0
349,34,0
350,34,0
351,35,0
352,35,0
353,35,0
354,35,0
355,35,0
356,35,0
357,35,0
358,36,0
359,36,0
360,36,0
361,36,0
362,36,0
363,36,0
364,36,0
365,36,0
366,36,0
367,36,0
368,36,0
369,36,0
370,36,0
371,36,0
372,36,0
373,36,0
374,36,0
375,36,0
376,36,0
377,36,0
378,36,0
379,36,0
380,36,0
381,36,0
382,36,0
383,36,0
384,36,0
385,36,0
386,36,0
387,36,0
388,36,0
389,36,0
390,37,0
391,38,0
392,38,0
393,38,0
394,38,0
395,38,0
396,38,0
397,39,0
398,39,0
399,40,0
400,41,0
401,41,0
402,42,0
403,43,0
404,43,0
405,43,0
406,43,0
407,43,0
408,43,0
409,43,0
410,43,0
411,43,0
412,43,0
413,43,0
414,43,0
415,43,0
416,43,0
417,43,0
418,43,0
419,43,0
420,43,0
421,43,0
422,43,0
423,43,0
424,44,0
425,44,0
426,44,0
427,44,0
428,44,0
429,44,0
430,44,0
431,44,0
432,44,0
433,44,0
434,44,0
435,44,0
436,44,0
437,44,0
438,44,0
439,44,0
440,44,0
441,45,0
442,45,0
443,46,0
444,47,0
445,47,0
446,47,0
447,47,0
448,47,0
449,47,0
450,47,0
451,47,0
452,48,0
453,48,0
454,48,0
455,48,0
456,48,0
457,48,0
458,48,0
459,48,0
460,48,0
461,48,0
462,48,0
463,48,0
464,48,0
465,48,0
466,48,0
467,48,0
468,48,0
469,48,0
470,48,0
471,49,0
472,49,0
473,49,0
474,49,0
475,50,0
476,50,0
477,50,0
478,50,0
479,50,0
480,51,0
481,51,0
482,51,0
483,51,0
484,51,0
485,51,0
486,51,0
487,51,0
488,51,0
489,51,0
490,51,0
491,51,0
492,51,0
493,51,0
494,51,0
495,51,0
496,51,0
497,51,0
498,51,0
499,51,0
